Company_Name,Age_group,First_trading_date_on_NSE,NSE_symbol,BSE_scrip_id,NSE_suspended_from_date,First_trading_date_on_BSE,NSE_suspended_to_date,BSE_suspended_from_date,BSE_suspended_to_date,Date_of_delisting_from_BSE,Promoters_In_nos__Shares_held,Promoters_In_nos__Pledged_Shares,Indian_Promoters_In_nos__Shares_held,Foreign_Promoters_In_nos__Shares_held,Total_Shares_In_%__Shares_held,Total_Shares_In_%__Pledged_Shares,Promoters_In_%__Shares_held,Promoters_In_%__Pledged_Shares,Indian_Promoters_In_%__Shares_held,Indian_Promoters_In_%__Pledged_Shares,Foreign_Promoters_In_%__Shares_held,Foreign_Promoters_In_%__Pledged_Shares,AIS_DATE_L3,QIS_DATE_L3,AIS_Net__sales_L3,QIS_Net__sales_L3,AIS_L3_Net_ProfitLossafter_tax,QIS_L3_Net_ProfitLossafter_tax,AIS_DATE_L2,QIS_DATE_L2,QIS_Net__sales_L2,AIS_Net__sales_L2,QIS_L2_Net_ProfitLossafter_tax,AIS_L2_Net_ProfitLossafter_tax,QIS_DATE_L1,AIS_DATE_L1,AIS_Net__sales_L1,QIS_Net__sales_L1,QIS_L1_Net_ProfitLossafter_tax,AIS_L1_Net_ProfitLossafter_tax,QIS_DATE_L,AIS_DATE_L,AIS_Net__sales_L,QIS_Net__sales_L,AIS_L_Net_ProfitLossafter_tax,QIS_L_Net_ProfitLossafter_tax,AFC_Sales,AFS_Sales,AFS_Income_from_financial_services,AFC_Income_from_financial_services,AFC_Interest_income,AFS_Interest_income,AFS_Dividend_income,AFC_Dividend_income,AFC_Total_expenses,AFS_Total_expenses,AFC_Profit_after_tax,AFS_Profit_after_tax,AFS_Total_liabilities,AFC_Total_liabilities,AFC_Total_capital,AFS_Total_capital,AFC_Reserves_and_funds,AFS_Reserves_and_funds,AFC_Noncurrent_liabilities,AFS_Noncurrent_liabilities,AFS_Long_term_borrowings,AFC_Long_term_borrowings,AFC_Current_liabilities_&_provisions,AFS_Current_liabilities_&_provisions,AFS_Total_assets,AFC_Total_assets,AFC_Net_fixed_assets,AFS_Net_fixed_assets,AFC_Long_term_investments,AFS_Long_term_investments,AFC_Long_term_loans_&_advances,AFS_Long_term_loans_&_advances,AFC_Other_long_term_assets,AFS_Other_long_term_assets,AFS_Current_assets,AFC_Current_assets,AFC_Short_term_investments,AFC_Short_term_investments,AFS_Short_term_inventories,AFC_Short_term_inventories,AFS_Cash_balance,AFC_Cash_balance,AFC_Bank_balance_short_term,AFS_Bank_balance_short_term,AFC_Net_cash_flow_from_operating_activities,AFS_Net_cash_flow_from_operating_activities,AFC_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFS_Net_cash_inflow_or_outflow,AFC_Net_cash_inflow_or_outflow,AFC_Cash_and_cash_equivalent,AFS_Cash_and_cash_equivalent,BSE_Closing_Price_INR,Market_Capitalisation_CR,NSE_Date_,Beta,NSE_Closing_Price_INR,BSE_Face_Value_INR_,BSE_EPS_INR,NSE_Shares_Outstanding_,Alpha,NSE_Face_Value_INR,BSE_Consolidated_EPS_INR,NSE_EPS_INR,BSE_Cash_EPS_INR,NSE_Consolidated_EPS_INR,BSE_Consolidated_Cash_EPS_INR,NSE_Cash_EPS_INR,BSE_PE_,BSE_PB_,NSE_Consolidated_Cash_EPS,BSE_Enterprise_value,NSE_PE_,NSE_PB_,BSE_Market_Capitalisation__Enterprise_Value,BSE_Enterprise_Value__PBDITA,NSE_Enterprise_value,NSE_Market_Capitalisation__Enterprise_Value,NSE_Enterprise_Value__PBDITA
20 Microns Ltd.,Between 1986 and 1990,06-10-2008,20MICRONS,20MICRONS,,06-10-2008,,,,,15819021,,15819021,,100,,44.83,,44.83,,0,,31-03-2020,30-09-2022,490.05,159.21,24.97,9.86,31-03-2021,31-12-2022,133.92,432.38,6.2,22.45,31-03-2023,31-03-2022,517.13,150.52,9.2,30.87,30-06-2023,31-03-2023,597.8,161.83,36.15,13.86,701.83,602.44,1.31,2.01,0.78,0.42,,,662.29,568.1,41.87,36.15,492.13,559.66,18.69,17.64,275.96,251.95,51.91,44.59,19.36,22.81,213.1,177.95,492.13,559.66,213.5,190.24,9.01,34.52,13.72,11.19,4.44,3.36,244.8,307.71,,,83.73,115.23,0.09,0.09,29.85,14.39,63.19,55.82,-17.67,-13.97,-39.1,-37.97,20.28,12.82,124.95,439.76,15-09-2023,1.46,124.3,5,11.05,35286502,0.04,5,12.29,11.05,14.29,12.29,16.22,14.29,11.31,1.57,16.22,510.31,11.25,1.56,0.86,6.77,508.02,0.86,6.74
360 One Wam Ltd.,After 1991,19-09-2019,360ONE,360ONE,,19-09-2019,,,,,76597616,19940804,76597616,,100,5.59,21.46,26.03,21.46,26.03,0,,31-03-2020,30-09-2022,216.26,47.78,250.05,264.35,31-03-2021,31-12-2022,39.22,707.88,105.92,640.37,31-03-2023,31-03-2022,242.61,80.13,94.41,407.43,30-06-2023,31-03-2023,528.19,136.19,495.85,115.77,27.28,18.49,541.4,2126.84,515.61,40.37,243.71,47.19,1593.86,187.81,577.74,408.84,4128.76,10759.65,17.74,17.74,2979.85,2408.24,,,,,1841.58,925.14,4128.76,10759.65,815.99,272.11,,,,,,,,,,,,,0.01,0.04,,,928.79,1106.45,-1128.11,-1201.96,23.8,251.24,488.57,65.29,526.05,18806.16,15-09-2023,1.17,526.65,1,16.24,357293796,0.03,1,19.08,16.24,16.63,19.08,20.44,16.63,32.4,8.79,20.44,19472.42,32.44,8.8,0.97,37.57,19493.86,0.97,37.61
3I Infotech Ltd.,After 1991,22-04-2005,3IINFOLTD,3IINFOTECH,30-08-2021,22-04-2005,21-10-2021,30-08-2021,21-10-2021,,,,,,100,,0,,0,,0,,31-03-2020,30-09-2022,197.46,68.62,55.6,6.77,31-03-2021,31-12-2022,69.64,207.77,41.5,254.04,31-03-2023,31-03-2022,212.04,75.4,-21.56,8.43,30-06-2023,31-03-2023,276.24,82.78,52.24,-15.3,677.01,276.24,114.11,5.85,5.85,34.48,0.35,,749.23,366.43,-57.49,52.25,2221.13,993.95,167.94,168.47,532.25,735.67,134.11,109.9,83.34,105.16,156.21,1207.09,2221.13,993.95,416.53,169.08,0.16,1320.79,131.26,118.04,,,560.19,425.19,,,,,,,136.31,40.51,-50.04,108,-3.95,-105.15,-48.49,-493.93,127.75,40.51,38.18,645.71,15-09-2023,1.51,38.4,10,0.07,168636042,0.07,10,-0.32,0.07,1.36,-0.32,1.06,1.36,564.78,0.82,1.06,708.13,568.04,0.82,0.91,7.75,711.84,0.91,7.8
3M India Ltd.,Between 1986 and 1990,23-01-1995,3MINDIA,3MINDIA,,26-06-1991,,,,,8448802,,,8448802,100,,75,,0,,75,,31-03-2020,30-09-2022,2764.88,924.98,218.97,99.86,31-03-2021,31-12-2022,932.22,2420.36,112.77,149.3,31-03-2023,31-03-2022,3078.3,986.47,123.27,266.18,30-06-2023,31-03-2023,3733.44,976.85,416.14,116.67,3959.37,3733.45,39.63,44.94,44.94,39.63,,,3629.5,3420.68,451.02,416.14,2969.78,2768.26,11.27,11.27,1666.2,1936.57,64.26,62.74,13.59,13.59,1026.53,959.2,2969.78,2768.26,337.97,322.42,,504.8,199.87,181.54,,,1906.31,2173.63,,,567.61,610.74,,,800.66,634.43,465.48,424.64,-15.46,-19.67,-979.53,-979.67,798.21,631.98,30375.85,34213.51,15-09-2023,0.83,30366.8,10,389.17,11265070,-0.03,10,427.53,389.17,438.79,427.53,478.42,438.79,78.05,17.53,478.42,33610.91,78.03,17.53,1.02,52.18,33600.71,1.02,52.17
3P Land Holdings Ltd.,Between 1951 and 1971,12-05-1995,3PLAND,3PLAND,,20-10-1994,,,,,13194158,,13194158,,100,,73.3,,73.3,,0,,31-03-2020,30-09-2022,1.85,1.15,4.43,0.75,31-03-2021,31-12-2022,0.48,1.4,0.28,0.64,31-03-2023,31-03-2022,2.15,0.47,0.27,1.27,30-06-2023,31-03-2023,2.53,0.47,1.54,0.26,0.34,0.34,2.18,2.18,1.5,1.5,0.68,0.68,0.98,0.98,1.54,1.54,69.1,67.48,3.6,3.6,62.46,64.08,,,,,0.01,0.01,69.1,67.48,0.22,0.22,,,,,,,,,,,,,,,,,0.01,0.01,,,,,0.1,0.1,22.62,40.79,15-09-2023,1.08,22.7,2,0.87,18000000,0.44,2,0.87,0.87,0.94,0.87,0.92,0.94,26.1,0.6,0.92,-9.52,26.19,0.6,-4.28,-4.43,-9.38,-4.36,-4.36
3Rd Rock Multimedia Ltd.,After 1991,28-11-2014,3RDROCK,,,,,,,,5217900,,5217900,0,100,,23.17,,23.17,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,,,,,,,,7.63,,0.02,26.37,,,22.52,,2.24,,0.1,,,,1.51,26.37,,,1.12,,7.43,,11.55,,,6.27,,,,,,0.01,,,0.29,,0.29,,,,,,0.3,,145.5,13-09-2023,,64.6,,,22523750,,10,,,,,,,,,,,,5.88,,,145.2,1,500.7
52 Weeks Entertainment Ltd.,After 1991,,,SHAQUAK,,19-08-1996,,12-03-2020,30-06-2020,,3290550,,3290550,,100,,9.43,,9.43,,0,,31-03-2020,30-09-2022,,,-0.32,-0.02,31-03-2021,31-12-2022,,,-0.01,0.8,31-03-2023,31-03-2022,,,-0.08,-1.83,30-06-2023,31-03-2023,,,-0.16,-0.06,71.9,,,1.8,1.8,,,,82.64,0.16,4.19,-0.16,19.89,63.96,35.37,34.88,-11.6,-19.13,0.08,,,0.08,40.11,4.14,19.89,63.96,3.29,,,,2.28,0.54,,,19.35,58.34,,,0.16,16.39,,0.03,0.04,0.01,2.34,-0.1,1.65,,0.1,-4.53,0.08,0.01,1.33,4.64,,0.53,,10,-0.03,,0.1,,,,-0.03,,,,,0.3,,8.35,,,0.56,0,,,
5Paisa Capital Ltd.,After 1991,16-11-2017,5PAISA,5PAISA,,16-11-2017,,,,,10230698,,10230698,,100,,33.39,,33.39,,0,,31-03-2020,30-09-2022,108.09,79.52,-7.89,10.8,31-03-2021,31-12-2022,83.74,192.36,11.12,17.32,31-03-2023,31-03-2022,296.66,90.47,13.85,14.83,30-06-2023,31-03-2023,337.78,84.53,43.3,14.58,,,338.15,338.25,102.28,102.26,,,295.8,294.85,43.57,43.3,1644.66,1641.79,30.64,30.64,432.63,436.14,,,,,1006.63,1006,1644.66,1641.79,15.5,15.43,,,,,,,,,,,,,,,,,193.73,194.03,-177.2,-177.79,-85.01,-85.01,20.93,20.11,440.25,1352.77,15-09-2023,1.54,440.15,10,16.38,30730868,0.15,10,16.5,16.38,19.12,16.5,19.45,19.12,26.87,2.81,19.45,1504.53,26.86,2.81,0.9,13.23,1504.22,0.9,13.23
63 Moons Technologies Ltd.,Between 1986 and 1990,20-06-2005,63MOONS,63MOONS,,27-04-1995,,25-04-2003,30-07-2003,,21025878,,21025878,,100,,45.63,,45.63,,0,,31-03-2020,30-09-2022,138.73,40.18,-118.34,1.6,31-03-2021,31-12-2022,88.37,144.08,29.8,-56.63,31-03-2023,31-03-2022,144.39,107.17,5.07,-61.34,30-06-2023,31-03-2023,272.49,110.95,27.75,51.42,298.27,282.77,175.87,184.06,75.17,68.42,,0.43,525.95,452.02,-21.81,27.75,2890.82,3509.92,-15.28,9.22,3105.77,2607.35,39.82,39.52,2.59,2.59,379.61,234.73,2890.82,3509.92,284.36,211.05,623.18,751.4,244.53,210.71,309.54,180.39,1522.73,2033.43,136.92,113.12,,,0.01,0.07,1437.48,1252.18,79.89,154.51,40.8,-121.1,-1.24,18.92,469.11,87.14,293.7,1353.56,15-09-2023,1.6,293.8,2,22.41,46078537,0.37,2,1.54,22.41,25.14,1.54,7.65,25.14,13.1,0.51,7.65,-72.53,13.11,0.51,-18.66,-0.32,-72.07,-18.78,-0.32
7Nr Retail Ltd.,After 1991,,,7NR,,18-07-2017,,,,,69100888,,69100888,,100,,24.67,,24.67,,0,,31-03-2020,30-09-2022,11.84,10.6,0.11,0.08,31-03-2021,31-12-2022,7.35,2.76,0.25,-0.53,31-03-2023,31-03-2022,24,10.39,-0.21,0.77,30-06-2023,31-03-2023,47.68,6.36,0.24,0.07,,47.65,0.44,,,0.44,,,,49.66,,0.24,48.64,,,28.01,,1.81,,2.02,2.02,,,16.8,48.64,,,0.88,,,,0.23,,0.12,47.4,,,0.56,8.75,,0.32,,,0.21,,-18.04,,-1.1,19.43,,,0.53,0.52,14.56,,0.6,,1,0.01,,0.04,,,,0.02,,,,76.65,0.49,,16.19,,,0.9,24.91,,,
